Customer_ID,Customer_Name,Customer_Email,Customer_Phone,Customer_Address
1086,Customer 200,customer.200.78@example.com,+1-652-572-9306,"275 Second St, Phoenix, USA"
1078,Customer 321,customer.321.13@sample.com,+1-311-186-5760,"478 Third St, New York, USA"
1077,Customer 989,customer.989.99@example.com,+1-922-606-9032,"843 Second St, Phoenix, USA"
1027,Customer 682,customer.682.66@demo.com,+1-237-853-5808,"153 Main St, Phoenix, USA"
1052,Customer 484,customer.484.3@sample.com,+1-986-360-9109,"264 Second St, New York, USA"
1074,Customer 483,customer.483.31@example.com,+1-775-800-3339,"629 Third St, Los Angeles, USA"
1061,Customer 757,customer.757.80@demo.com,+1-994-460-4335,"598 Main St, Los Angeles, USA"
1040,Customer 985,customer.985.31@demo.com,+1-995-296-7191,"387 Main St, Los Angeles, USA"
1014,Customer 795,customer.795.34@sample.com,+1-433-242-4481,"130 Third St, Los Angeles, USA"
1040,Customer 459,customer.459.35@demo.com,+1-896-264-5828,"526 Third St, Phoenix, USA"
1039,Customer 826,customer.826.85@demo.com,+1-833-316-1097,"420 Third St, Chicago, USA"
1080,Customer 116,customer.116.38@demo.com,+1-942-543-7496,"932 Second St, New York, USA"
1076,Customer 417,customer.417.51@example.com,+1-948-130-2697,"755 Park Ave, Phoenix, USA"
1097,Customer 367,customer.367.34@sample.com,+1-797-793-8108,"507 Main St, Houston, USA"
1070,Customer 233,customer.233.76@sample.com,+1-733-608-8796,"671 Second St, New York, USA"
1099,Customer 191,customer.191.31@sample.com,+1-667-172-9201,"725 Second St, Houston, USA"
1056,Customer 891,customer.891.33@example.com,+1-127-659-4236,"482 Park Ave, New York, USA"
1021,Customer 770,customer.770.4@example.com,+1-149-843-8592,"886 Third St, New York, USA"
1036,Customer 387,customer.387.11@sample.com,+1-887-241-5885,"606 Fourth St, Los Angeles, USA"
1099,Customer 641,customer.641.70@demo.com,+1-939-202-2164,"250 Park Ave, Phoenix, USA"
1020,Customer 278,customer.278.41@demo.com,+1-947-594-3025,"640 Fourth St, Los Angeles, USA"
1096,Customer 649,customer.649.29@demo.com,+1-493-921-4569,"670 Fourth St, Los Angeles, USA"
1046,Customer 599,customer.599.44@example.com,+1-463-466-2658,"9 Park Ave, Los Angeles, USA"
1026,Customer 516,customer.516.6@demo.com,+1-947-615-3413,"721 Park Ave, Los Angeles, USA"
1018,Customer 871,customer.871.19@sample.com,+1-390-268-7586,"185 Third St, New York, USA"
1062,Customer 46,customer.46.98@sample.com,+1-487-321-1989,"522 Park Ave, Los Angeles, USA"
1053,Customer 481,customer.481.48@sample.com,+1-128-201-1615,"634 Fourth St, Houston, USA"
1100,Customer 671,customer.671.44@sample.com,+1-883-343-7369,"226 Third St, Houston, USA"
1025,Customer 744,customer.744.48@sample.com,+1-563-455-7993,"27 Main St, Phoenix, USA"
1006,Customer 375,customer.375.58@sample.com,+1-835-279-8349,"215 Main St, Houston, USA"
1054,Customer 717,customer.717.83@sample.com,+1-925-588-8548,"784 Second St, Los Angeles, USA"
1005,Customer 136,customer.136.62@sample.com,+1-296-124-1713,"378 Fourth St, Los Angeles, USA"
1036,Customer 166,customer.166.17@demo.com,+1-146-441-8409,"130 Fourth St, Phoenix, USA"
1081,Customer 651,customer.651.72@example.com,+1-151-114-4395,"679 Second St, New York, USA"
1012,Customer 779,customer.779.96@sample.com,+1-222-424-8848,"668 Main St, Chicago, USA"
